,condition,brain_ID,cell_id,layer,normalized_counts,home_layer
0,Ta1 Cre-OFF,CBLK1843_1E,pv_inputs,Layer 1,0.0,Non-home layer
1,Ta1 Cre-OFF,CBLK1843_1E,pv_inputs,Layer 2/3,16.666666666666664,Home layer
2,Ta1 Cre-OFF,CBLK1843_1E,pv_inputs,Layer 4,36.666666666666664,Non-home layer
3,Ta1 Cre-OFF,CBLK1843_1E,pv_inputs,Layer 5a,26.666666666666668,Non-home layer
4,Ta1 Cre-OFF,CBLK1843_1E,pv_inputs,Layer 5b,20.0,Non-home layer
5,Ta1 Cre-OFF,CBLK1843_1E,pv_inputs,Layer 6,0.0,Non-home layer
6,Ta1 Cre-OFF,CBLK1843_1E,starters,Layer 1,0.0,Non-home layer
7,Ta1 Cre-OFF,CBLK1843_1E,starters,Layer 2/3,72.22222222222221,Home layer
8,Ta1 Cre-OFF,CBLK1843_1E,starters,Layer 4,27.77777777777778,Non-home layer
9,Ta1 Cre-OFF,CBLK1843_1E,starters,Layer 5a,0.0,Non-home layer
10,Ta1 Cre-OFF,CBLK1843_1E,starters,Layer 5b,0.0,Non-home layer
11,Ta1 Cre-OFF,CBLK1843_1E,starters,Layer 6,0.0,Non-home layer
12,Ta1 Cre-OFF,CBLK1843_1F,pv_inputs,Layer 1,0.0,Non-home layer
13,Ta1 Cre-OFF,CBLK1843_1F,pv_inputs,Layer 2/3,33.33333333333333,Home layer
14,Ta1 Cre-OFF,CBLK1843_1F,pv_inputs,Layer 4,33.33333333333333,Non-home layer
15,Ta1 Cre-OFF,CBLK1843_1F,pv_inputs,Layer 5a,8.333333333333332,Non-home layer
16,Ta1 Cre-OFF,CBLK1843_1F,pv_inputs,Layer 5b,8.333333333333332,Non-home layer
17,Ta1 Cre-OFF,CBLK1843_1F,pv_inputs,Layer 6,16.666666666666664,Non-home layer
18,Ta1 Cre-OFF,CBLK1843_1F,starters,Layer 1,0.0,Non-home layer
19,Ta1 Cre-OFF,CBLK1843_1F,starters,Layer 2/3,92.85714285714286,Home layer
20,Ta1 Cre-OFF,CBLK1843_1F,starters,Layer 4,7.142857142857142,Non-home layer
21,Ta1 Cre-OFF,CBLK1843_1F,starters,Layer 5a,0.0,Non-home layer
22,Ta1 Cre-OFF,CBLK1843_1F,starters,Layer 5b,0.0,Non-home layer
23,Ta1 Cre-OFF,CBLK1843_1F,starters,Layer 6,0.0,Non-home layer
24,Ta1 Cre-OFF,CBLK1843_1G,pv_inputs,Layer 1,0.0,Non-home layer
25,Ta1 Cre-OFF,CBLK1843_1G,pv_inputs,Layer 2/3,20.0,Home layer
26,Ta1 Cre-OFF,CBLK1843_1G,pv_inputs,Layer 4,50.90909090909091,Non-home layer
27,Ta1 Cre-OFF,CBLK1843_1G,pv_inputs,Layer 5a,5.454545454545454,Non-home layer
28,Ta1 Cre-OFF,CBLK1843_1G,pv_inputs,Layer 5b,18.181818181818183,Non-home layer
29,Ta1 Cre-OFF,CBLK1843_1G,pv_inputs,Layer 6,5.454545454545454,Non-home layer
30,Ta1 Cre-OFF,CBLK1843_1G,starters,Layer 1,0.0,Non-home layer
31,Ta1 Cre-OFF,CBLK1843_1G,starters,Layer 2/3,67.5,Home layer
32,Ta1 Cre-OFF,CBLK1843_1G,starters,Layer 4,32.5,Non-home layer
33,Ta1 Cre-OFF,CBLK1843_1G,starters,Layer 5a,0.0,Non-home layer
34,Ta1 Cre-OFF,CBLK1843_1G,starters,Layer 5b,0.0,Non-home layer
35,Ta1 Cre-OFF,CBLK1843_1G,starters,Layer 6,0.0,Non-home layer
36,Ta1 Cre-OFF,CBLK1873_1B,pv_inputs,Layer 1,0.0,Non-home layer
37,Ta1 Cre-OFF,CBLK1873_1B,pv_inputs,Layer 2/3,33.33333333333333,Home layer
38,Ta1 Cre-OFF,CBLK1873_1B,pv_inputs,Layer 4,33.33333333333333,Non-home layer
39,Ta1 Cre-OFF,CBLK1873_1B,pv_inputs,Layer 5a,14.814814814814813,Non-home layer
40,Ta1 Cre-OFF,CBLK1873_1B,pv_inputs,Layer 5b,18.51851851851852,Non-home layer
41,Ta1 Cre-OFF,CBLK1873_1B,pv_inputs,Layer 6,0.0,Non-home layer
42,Ta1 Cre-OFF,CBLK1873_1B,starters,Layer 1,0.0,Non-home layer
43,Ta1 Cre-OFF,CBLK1873_1B,starters,Layer 2/3,100.0,Home layer
44,Ta1 Cre-OFF,CBLK1873_1B,starters,Layer 4,0.0,Non-home layer
45,Ta1 Cre-OFF,CBLK1873_1B,starters,Layer 5a,0.0,Non-home layer
46,Ta1 Cre-OFF,CBLK1873_1B,starters,Layer 5b,0.0,Non-home layer
47,Ta1 Cre-OFF,CBLK1873_1B,starters,Layer 6,0.0,Non-home layer
48,Ta1 Cre-ON,CBLK1846_1A,pv_inputs,Layer 1,0.0,Non-home layer
49,Ta1 Cre-ON,CBLK1846_1A,pv_inputs,Layer 2/3,28.57142857142857,Home layer
50,Ta1 Cre-ON,CBLK1846_1A,pv_inputs,Layer 4,28.57142857142857,Non-home layer
51,Ta1 Cre-ON,CBLK1846_1A,pv_inputs,Layer 5a,28.57142857142857,Non-home layer
52,Ta1 Cre-ON,CBLK1846_1A,pv_inputs,Layer 5b,0.0,Non-home layer
53,Ta1 Cre-ON,CBLK1846_1A,pv_inputs,Layer 6,14.285714285714285,Non-home layer
54,Ta1 Cre-ON,CBLK1846_1A,starters,Layer 1,0.0,Non-home layer
55,Ta1 Cre-ON,CBLK1846_1A,starters,Layer 2/3,96.55172413793103,Home layer
56,Ta1 Cre-ON,CBLK1846_1A,starters,Layer 4,3.4482758620689653,Non-home layer
57,Ta1 Cre-ON,CBLK1846_1A,starters,Layer 5a,0.0,Non-home layer
58,Ta1 Cre-ON,CBLK1846_1A,starters,Layer 5b,0.0,Non-home layer
59,Ta1 Cre-ON,CBLK1846_1A,starters,Layer 6,0.0,Non-home layer
60,Ta1 Cre-ON,CBLK1853_1B,pv_inputs,Layer 1,0.0,Non-home layer
61,Ta1 Cre-ON,CBLK1853_1B,pv_inputs,Layer 2/3,6.666666666666667,Home layer
62,Ta1 Cre-ON,CBLK1853_1B,pv_inputs,Layer 4,46.666666666666664,Non-home layer
63,Ta1 Cre-ON,CBLK1853_1B,pv_inputs,Layer 5a,0.0,Non-home layer
64,Ta1 Cre-ON,CBLK1853_1B,pv_inputs,Layer 5b,26.666666666666668,Non-home layer
65,Ta1 Cre-ON,CBLK1853_1B,pv_inputs,Layer 6,20.0,Non-home layer
66,Ta1 Cre-ON,CBLK1853_1B,starters,Layer 1,0.0,Non-home layer
67,Ta1 Cre-ON,CBLK1853_1B,starters,Layer 2/3,88.88888888888889,Home layer
68,Ta1 Cre-ON,CBLK1853_1B,starters,Layer 4,0.0,Non-home layer
69,Ta1 Cre-ON,CBLK1853_1B,starters,Layer 5a,0.0,Non-home layer
70,Ta1 Cre-ON,CBLK1853_1B,starters,Layer 5b,0.0,Non-home layer
71,Ta1 Cre-ON,CBLK1853_1B,starters,Layer 6,0.0,Non-home layer
72,Ta1 Cre-ON,CBLK1855_1A,pv_inputs,Layer 1,0.0,Non-home layer
73,Ta1 Cre-ON,CBLK1855_1A,pv_inputs,Layer 2/3,43.75,Home layer
74,Ta1 Cre-ON,CBLK1855_1A,pv_inputs,Layer 4,25.0,Non-home layer
75,Ta1 Cre-ON,CBLK1855_1A,pv_inputs,Layer 5a,12.5,Non-home layer
76,Ta1 Cre-ON,CBLK1855_1A,pv_inputs,Layer 5b,12.5,Non-home layer
77,Ta1 Cre-ON,CBLK1855_1A,pv_inputs,Layer 6,6.25,Non-home layer
78,Ta1 Cre-ON,CBLK1855_1A,starters,Layer 1,0.0,Non-home layer
79,Ta1 Cre-ON,CBLK1855_1A,starters,Layer 2/3,92.5925925925926,Home layer
80,Ta1 Cre-ON,CBLK1855_1A,starters,Layer 4,7.4074074074074066,Non-home layer
81,Ta1 Cre-ON,CBLK1855_1A,starters,Layer 5a,0.0,Non-home layer
82,Ta1 Cre-ON,CBLK1855_1A,starters,Layer 5b,0.0,Non-home layer
83,Ta1 Cre-ON,CBLK1855_1A,starters,Layer 6,0.0,Non-home layer
84,Ta1 Cre-ON,CBLK1855_1D,pv_inputs,Layer 1,0.0,Non-home layer
85,Ta1 Cre-ON,CBLK1855_1D,pv_inputs,Layer 2/3,11.538461538461538,Home layer
86,Ta1 Cre-ON,CBLK1855_1D,pv_inputs,Layer 4,34.61538461538461,Non-home layer
87,Ta1 Cre-ON,CBLK1855_1D,pv_inputs,Layer 5a,3.8461538461538463,Non-home layer
88,Ta1 Cre-ON,CBLK1855_1D,pv_inputs,Layer 5b,30.76923076923077,Non-home layer
89,Ta1 Cre-ON,CBLK1855_1D,pv_inputs,Layer 6,19.230769230769234,Non-home layer
90,Ta1 Cre-ON,CBLK1855_1D,starters,Layer 1,0.0,Non-home layer
91,Ta1 Cre-ON,CBLK1855_1D,starters,Layer 2/3,53.84615384615385,Home layer
92,Ta1 Cre-ON,CBLK1855_1D,starters,Layer 4,46.15384615384615,Non-home layer
93,Ta1 Cre-ON,CBLK1855_1D,starters,Layer 5a,0.0,Non-home layer
94,Ta1 Cre-ON,CBLK1855_1D,starters,Layer 5b,0.0,Non-home layer
95,Ta1 Cre-ON,CBLK1855_1D,starters,Layer 6,0.0,Non-home layer
96,Ta1 Cre-ON,CBLK1870_1A,pv_inputs,Layer 1,0.0,Non-home layer
97,Ta1 Cre-ON,CBLK1870_1A,pv_inputs,Layer 2/3,37.5,Home layer
98,Ta1 Cre-ON,CBLK1870_1A,pv_inputs,Layer 4,43.75,Non-home layer
99,Ta1 Cre-ON,CBLK1870_1A,pv_inputs,Layer 5a,9.375,Non-home layer
100,Ta1 Cre-ON,CBLK1870_1A,pv_inputs,Layer 5b,6.25,Non-home layer
101,Ta1 Cre-ON,CBLK1870_1A,pv_inputs,Layer 6,3.125,Non-home layer
102,Ta1 Cre-ON,CBLK1870_1A,starters,Layer 1,0.0,Non-home layer
103,Ta1 Cre-ON,CBLK1870_1A,starters,Layer 2/3,83.33333333333334,Home layer
104,Ta1 Cre-ON,CBLK1870_1A,starters,Layer 4,16.666666666666664,Non-home layer
105,Ta1 Cre-ON,CBLK1870_1A,starters,Layer 5a,0.0,Non-home layer
106,Ta1 Cre-ON,CBLK1870_1A,starters,Layer 5b,0.0,Non-home layer
107,Ta1 Cre-ON,CBLK1870_1A,starters,Layer 6,0.0,Non-home layer
108,Ta1 Cre-ON,CBLK1870_1B,pv_inputs,Layer 1,0.0,Non-home layer
109,Ta1 Cre-ON,CBLK1870_1B,pv_inputs,Layer 2/3,25.0,Home layer
110,Ta1 Cre-ON,CBLK1870_1B,pv_inputs,Layer 4,54.166666666666664,Non-home layer
111,Ta1 Cre-ON,CBLK1870_1B,pv_inputs,Layer 5a,16.666666666666664,Non-home layer
112,Ta1 Cre-ON,CBLK1870_1B,pv_inputs,Layer 5b,0.0,Non-home layer
113,Ta1 Cre-ON,CBLK1870_1B,pv_inputs,Layer 6,4.166666666666666,Non-home layer
114,Ta1 Cre-ON,CBLK1870_1B,starters,Layer 1,0.0,Non-home layer
115,Ta1 Cre-ON,CBLK1870_1B,starters,Layer 2/3,88.88888888888889,Home layer
116,Ta1 Cre-ON,CBLK1870_1B,starters,Layer 4,11.11111111111111,Non-home layer
117,Ta1 Cre-ON,CBLK1870_1B,starters,Layer 5a,0.0,Non-home layer
118,Ta1 Cre-ON,CBLK1870_1B,starters,Layer 5b,0.0,Non-home layer
119,Ta1 Cre-ON,CBLK1870_1B,starters,Layer 6,0.0,Non-home layer
120,Ta1 Cre-ON,CBLK1870_1C,pv_inputs,Layer 1,0.0,Non-home layer
121,Ta1 Cre-ON,CBLK1870_1C,pv_inputs,Layer 2/3,11.214953271028037,Home layer
122,Ta1 Cre-ON,CBLK1870_1C,pv_inputs,Layer 4,44.85981308411215,Non-home layer
123,Ta1 Cre-ON,CBLK1870_1C,pv_inputs,Layer 5a,8.411214953271028,Non-home layer
124,Ta1 Cre-ON,CBLK1870_1C,pv_inputs,Layer 5b,22.429906542056074,Non-home layer
125,Ta1 Cre-ON,CBLK1870_1C,pv_inputs,Layer 6,13.084112149532709,Non-home layer
126,Ta1 Cre-ON,CBLK1870_1C,starters,Layer 1,0.0,Non-home layer
127,Ta1 Cre-ON,CBLK1870_1C,starters,Layer 2/3,87.20930232558139,Home layer
128,Ta1 Cre-ON,CBLK1870_1C,starters,Layer 4,12.790697674418606,Non-home layer
129,Ta1 Cre-ON,CBLK1870_1C,starters,Layer 5a,0.0,Non-home layer
130,Ta1 Cre-ON,CBLK1870_1C,starters,Layer 5b,0.0,Non-home layer
131,Ta1 Cre-ON,CBLK1870_1C,starters,Layer 6,0.0,Non-home layer
132,Ta1 Cre-ON,CBLK1870_1D,pv_inputs,Layer 1,0.0,Non-home layer
133,Ta1 Cre-ON,CBLK1870_1D,pv_inputs,Layer 2/3,2.083333333333333,Home layer
134,Ta1 Cre-ON,CBLK1870_1D,pv_inputs,Layer 4,35.41666666666667,Non-home layer
135,Ta1 Cre-ON,CBLK1870_1D,pv_inputs,Layer 5a,10.416666666666668,Non-home layer
136,Ta1 Cre-ON,CBLK1870_1D,pv_inputs,Layer 5b,29.166666666666668,Non-home layer
137,Ta1 Cre-ON,CBLK1870_1D,pv_inputs,Layer 6,20.833333333333336,Non-home layer
138,Ta1 Cre-ON,CBLK1870_1D,starters,Layer 1,0.0,Non-home layer
139,Ta1 Cre-ON,CBLK1870_1D,starters,Layer 2/3,93.90243902439023,Home layer
140,Ta1 Cre-ON,CBLK1870_1D,starters,Layer 4,4.878048780487805,Non-home layer
141,Ta1 Cre-ON,CBLK1870_1D,starters,Layer 5a,0.0,Non-home layer
142,Ta1 Cre-ON,CBLK1870_1D,starters,Layer 5b,0.0,Non-home layer
143,Ta1 Cre-ON,CBLK1870_1D,starters,Layer 6,0.0,Non-home layer
144,Ta1 Cre-ON,CBLK1870_1E,pv_inputs,Layer 1,0.0,Non-home layer
145,Ta1 Cre-ON,CBLK1870_1E,pv_inputs,Layer 2/3,26.31578947368421,Home layer
146,Ta1 Cre-ON,CBLK1870_1E,pv_inputs,Layer 4,45.614035087719294,Non-home layer
147,Ta1 Cre-ON,CBLK1870_1E,pv_inputs,Layer 5a,12.280701754385964,Non-home layer
148,Ta1 Cre-ON,CBLK1870_1E,pv_inputs,Layer 5b,7.017543859649122,Non-home layer
149,Ta1 Cre-ON,CBLK1870_1E,pv_inputs,Layer 6,8.771929824561402,Non-home layer
150,Ta1 Cre-ON,CBLK1870_1E,starters,Layer 1,0.0,Non-home layer
151,Ta1 Cre-ON,CBLK1870_1E,starters,Layer 2/3,89.04109589041096,Home layer
152,Ta1 Cre-ON,CBLK1870_1E,starters,Layer 4,10.95890410958904,Non-home layer
153,Ta1 Cre-ON,CBLK1870_1E,starters,Layer 5a,0.0,Non-home layer
154,Ta1 Cre-ON,CBLK1870_1E,starters,Layer 5b,0.0,Non-home layer
155,Ta1 Cre-ON,CBLK1870_1E,starters,Layer 6,0.0,Non-home layer
