condition,brain_ID,starter_X,starter_Y
Ta1 Cre-OFF,CBLK1843_1E,1326.053,276.3472081198034
Ta1 Cre-OFF,CBLK1843_1E,810.399,243.16809572022024
Ta1 Cre-OFF,CBLK1843_1E,960.44,183.98056767311812
Ta1 Cre-OFF,CBLK1843_1E,323.50699999999995,329.6440975605348
Ta1 Cre-OFF,CBLK1843_1E,483.926,133.17438755474356
Ta1 Cre-OFF,CBLK1843_1E,801.701,307.3293737957957
Ta1 Cre-OFF,CBLK1843_1E,1134.2020000000002,251.68901327120537
Ta1 Cre-OFF,CBLK1843_1E,1259.928,241.45902899705953
Ta1 Cre-OFF,CBLK1843_1E,371.247,354.10976993855445
Ta1 Cre-OFF,CBLK1843_1E,337.345,388.7026798422797
Ta1 Cre-OFF,CBLK1843_1E,747.536,330.9418581913378
Ta1 Cre-OFF,CBLK1843_1E,878.006,224.45986087586547
Ta1 Cre-OFF,CBLK1843_1E,920.112,237.73464252118097
Ta1 Cre-OFF,CBLK1843_1E,980.603,157.72323096035527
Ta1 Cre-OFF,CBLK1843_1E,682.894,197.8656598263376
Ta1 Cre-OFF,CBLK1843_1E,607.379,319.80341432011943
Ta1 Cre-OFF,CBLK1843_1E,611.3329999999999,307.8187974225359
Ta1 Cre-OFF,CBLK1843_1E,115.941,257.7037147239424
Ta1 Cre-OFF,CBLK1843_1E,234.847,202.36406834770523
Ta1 Cre-OFF,CBLK1843_1E,426.302,350.58565113714997
Ta1 Cre-OFF,CBLK1843_1E,383.01,373.86725981758104
Ta1 Cre-OFF,CBLK1843_1E,616.472,389.9088055379548
Ta1 Cre-OFF,CBLK1843_1E,577.331,309.4158878572374
Ta1 Cre-OFF,CBLK1843_1E,621.8100000000001,264.96568096897937
Ta1 Cre-OFF,CBLK1843_1E,181.967,218.86211777782043
Ta1 Cre-OFF,CBLK1843_1E,478.885,151.00155671509302
Ta1 Cre-OFF,CBLK1843_1E,781.339,193.76427030464083
Ta1 Cre-OFF,CBLK1843_1E,550.051,185.61101681778416
Ta1 Cre-OFF,CBLK1843_1E,438.262,335.86890123023807
Ta1 Cre-OFF,CBLK1843_1E,480.665,182.13557129260133
Ta1 Cre-OFF,CBLK1843_1E,287.331,150.66386586490225
Ta1 Cre-OFF,CBLK1843_1E,509.52600000000007,249.0698854451251
Ta1 Cre-OFF,CBLK1843_1E,886.902,274.94091324903394
Ta1 Cre-OFF,CBLK1843_1E,677.556,140.23453924266607
Ta1 Cre-OFF,CBLK1843_1E,933.1590000000001,324.8835518465026
Ta1 Cre-OFF,CBLK1843_1E,3.855,325.17948584134086
Ta1 Cre-OFF,CBLK1843_1F,676.6669999999999,345.32423864249836
Ta1 Cre-OFF,CBLK1843_1F,476.513,304.5709510413901
Ta1 Cre-OFF,CBLK1843_1F,985.743,286.9043114249947
Ta1 Cre-OFF,CBLK1843_1F,1028.442,425.516542995604
Ta1 Cre-OFF,CBLK1843_1F,651.2639999999999,462.0250269196465
Ta1 Cre-OFF,CBLK1843_1F,76.404,229.95051302463116
Ta1 Cre-OFF,CBLK1843_1F,169.71,228.2055598463544
Ta1 Cre-OFF,CBLK1843_1F,429.07,276.77168996162436
Ta1 Cre-OFF,CBLK1843_1F,806.247,368.8944834296718
Ta1 Cre-OFF,CBLK1843_1F,584.052,410.6039763611371
Ta1 Cre-OFF,CBLK1843_1F,268.551,245.69620238602928
Ta1 Cre-OFF,CBLK1843_1F,302.553,391.94785271889344
Ta1 Cre-OFF,CBLK1843_1F,338.13599999999997,333.1897668240337
Ta1 Cre-OFF,CBLK1843_1F,436.186,211.61526598719624
Ta1 Cre-OFF,CBLK1843_1F,848.9470000000001,385.213748310459
Ta1 Cre-OFF,CBLK1843_1F,205.787,377.56442452281937
Ta1 Cre-OFF,CBLK1843_1F,232.178,363.2308340383611
Ta1 Cre-OFF,CBLK1843_1F,346.043,336.09917457140324
Ta1 Cre-OFF,CBLK1843_1F,302.157,296.47737465936507
Ta1 Cre-OFF,CBLK1843_1F,593.937,200.4050329190852
Ta1 Cre-OFF,CBLK1843_1F,440.337,210.83386435567613
Ta1 Cre-OFF,CBLK1843_1F,526.329,357.02733180700136
Ta1 Cre-OFF,CBLK1843_1F,245.225,301.32215037651434
Ta1 Cre-OFF,CBLK1843_1F,97.26,160.9952448007709
Ta1 Cre-OFF,CBLK1843_1F,154.489,229.4592185632858
Ta1 Cre-OFF,CBLK1843_1F,11.564,207.7338506751585
Ta1 Cre-OFF,CBLK1843_1F,235.143,230.18296489647415
Ta1 Cre-OFF,CBLK1843_1F,329.438,346.44886001749995
Ta1 Cre-OFF,CBLK1843_1F,309.867,362.7556851284781
Ta1 Cre-OFF,CBLK1843_1F,16.309,127.11682209256458
Ta1 Cre-OFF,CBLK1843_1F,133.139,155.96217401763337
Ta1 Cre-OFF,CBLK1843_1F,363.83400000000006,260.462316614173
Ta1 Cre-OFF,CBLK1843_1F,329.438,379.06686001749995
Ta1 Cre-OFF,CBLK1843_1F,403.964,363.4490296030298
Ta1 Cre-OFF,CBLK1843_1F,472.757,298.54317506174016
Ta1 Cre-OFF,CBLK1843_1F,518.224,281.84153063872145
Ta1 Cre-OFF,CBLK1843_1F,384.19599999999997,210.4548189501277
Ta1 Cre-OFF,CBLK1843_1F,732.71,358.7095495109188
Ta1 Cre-OFF,CBLK1843_1F,777.386,362.1182760963716
Ta1 Cre-OFF,CBLK1843_1F,1020.733,360.3651399647236
Ta1 Cre-OFF,CBLK1843_1F,920.112,342.461456226845
Ta1 Cre-OFF,CBLK1843_1F,931.9729999999998,376.73405746944775
Ta1 Cre-OFF,CBLK1843_1G,255.603,378.97119495353974
Ta1 Cre-OFF,CBLK1843_1G,323.705,226.2168002135499
Ta1 Cre-OFF,CBLK1843_1G,626.5540000000001,345.92583416414993
Ta1 Cre-OFF,CBLK1843_1G,587.4129999999999,292.33956901875274
Ta1 Cre-OFF,CBLK1843_1G,573.773,247.1739219470462
Ta1 Cre-OFF,CBLK1843_1G,1035.954,338.44244424622156
Ta1 Cre-OFF,CBLK1843_1G,90.14299999999999,404.30334542561025
Ta1 Cre-OFF,CBLK1843_1G,111.592,312.4108976729142
Ta1 Cre-OFF,CBLK1843_1G,423.93,336.1532691038589
Ta1 Cre-OFF,CBLK1843_1G,472.164,407.7566513628249
Ta1 Cre-OFF,CBLK1843_1G,503.793,331.06769618813166
Ta1 Cre-OFF,CBLK1843_1G,520.399,304.2700544596028
Ta1 Cre-OFF,CBLK1843_1G,282.883,190.26887143909576
Ta1 Cre-OFF,CBLK1843_1G,562.11,397.8067788244509
Ta1 Cre-OFF,CBLK1843_1G,767.699,284.6011122709224
Ta1 Cre-OFF,CBLK1843_1G,639.601,194.4085058482389
Ta1 Cre-OFF,CBLK1843_1G,214.98,384.03204821638576
Ta1 Cre-OFF,CBLK1843_1G,233.166,299.59022448398775
Ta1 Cre-OFF,CBLK1843_1G,198.374,135.63661686122092
Ta1 Cre-OFF,CBLK1843_1G,586.622,416.43218334212816
Ta1 Cre-OFF,CBLK1843_1G,695.545,236.6347170495591
Ta1 Cre-OFF,CBLK1843_1G,754.6520000000002,412.66772098083544
Ta1 Cre-OFF,CBLK1843_1G,152.413,432.47568982958705
Ta1 Cre-OFF,CBLK1843_1G,237.515,421.19389219219903
Ta1 Cre-OFF,CBLK1843_1G,223.282,349.3216251623269
Ta1 Cre-OFF,CBLK1843_1G,354.939,381.8984461812324
Ta1 Cre-OFF,CBLK1843_1G,376.881,363.2422537072898
Ta1 Cre-OFF,CBLK1843_1G,53.078,260.10841553032935
Ta1 Cre-OFF,CBLK1843_1G,224.468,293.73542981522905
Ta1 Cre-OFF,CBLK1843_1G,50.112,193.1473035712139
Ta1 Cre-OFF,CBLK1843_1G,230.992,337.3065765804718
Ta1 Cre-OFF,CBLK1843_1G,616.275,422.82183281230766
Ta1 Cre-OFF,CBLK1843_1G,646.322,284.3372401226417
Ta1 Cre-OFF,CBLK1843_1G,533.248,230.65904078484675
Ta1 Cre-OFF,CBLK1843_1G,387.556,271.10697379648076
Ta1 Cre-OFF,CBLK1843_1G,700.982,254.59907125350617
Ta1 Cre-OFF,CBLK1843_1G,486.002,436.9542019469872
Ta1 Cre-OFF,CBLK1843_1G,599.274,432.2092132529254
Ta1 Cre-OFF,CBLK1843_1G,516.84,400.2085919437208
Ta1 Cre-OFF,CBLK1843_1G,388.149,270.5671458819181
Ta1 Cre-ON,CBLK1846_1A,85.399,281.1490052025796
Ta1 Cre-ON,CBLK1846_1A,118.906,151.91584881871654
Ta1 Cre-ON,CBLK1846_1A,237.515,263.0188859836244
Ta1 Cre-ON,CBLK1846_1A,299.192,302.3889754914238
Ta1 Cre-ON,CBLK1846_1A,292.669,230.59316665286207
Ta1 Cre-ON,CBLK1846_1A,247.004,172.84472594924463
Ta1 Cre-ON,CBLK1846_1A,442.117,164.70090617667017
Ta1 Cre-ON,CBLK1846_1A,436.779,213.17451523325877
Ta1 Cre-ON,CBLK1846_1A,456.34999999999997,219.61263265650751
Ta1 Cre-ON,CBLK1846_1A,676.9629999999999,211.73895736232004
Ta1 Cre-ON,CBLK1846_1A,684.673,314.8757686035022
Ta1 Cre-ON,CBLK1846_1A,605.7980000000001,312.46222334540766
Ta1 Cre-ON,CBLK1846_1A,410.092,190.24939752033123
Ta1 Cre-ON,CBLK1846_1A,480.665,144.083891094219
Ta1 Cre-ON,CBLK1846_1A,375.69500000000005,277.4482371147581
Ta1 Cre-ON,CBLK1846_1A,657.3929999999999,171.74106426265112
Ta1 Cre-ON,CBLK1846_1A,622.996,154.991130550367
Ta1 Cre-ON,CBLK1846_1A,954.509,339.3556265026291
Ta1 Cre-ON,CBLK1846_1A,687.6379999999999,240.48985055703295
Ta1 Cre-ON,CBLK1846_1A,922.485,239.75057893053668
Ta1 Cre-ON,CBLK1846_1A,889.867,250.67400733197093
Ta1 Cre-ON,CBLK1846_1A,845.982,255.23395817462895
Ta1 Cre-ON,CBLK1846_1A,1084.386,231.95066130402867
Ta1 Cre-ON,CBLK1846_1A,859.0290000000001,334.33876672555095
Ta1 Cre-ON,CBLK1846_1A,966.3700000000001,352.81933323159564
Ta1 Cre-ON,CBLK1846_1A,872.076,429.96880577481767
Ta1 Cre-ON,CBLK1846_1A,532.26,254.28221717513372
Ta1 Cre-ON,CBLK1846_1A,710.174,253.23604667099107
Ta1 Cre-ON,CBLK1846_1A,1006.697,313.416102604597
Ta1 Cre-ON,CBLK1853_1B,390.225,364.25106639955766
Ta1 Cre-ON,CBLK1853_1B,448.838,319.7914052135103
Ta1 Cre-ON,CBLK1853_1B,587.611,451.3157577352315
Ta1 Cre-ON,CBLK1853_1B,592.355,83.26664860735772
Ta1 Cre-ON,CBLK1853_1B,722.825,320.39187113777564
Ta1 Cre-ON,CBLK1853_1B,469.792,230.28233811879528
Ta1 Cre-ON,CBLK1853_1B,603.4250000000001,364.1432095685661
Ta1 Cre-ON,CBLK1853_1B,566.261,394.6640951547403
Ta1 Cre-ON,CBLK1853_1B,826.016,467.6078470060019
Ta1 Cre-ON,CBLK1855_1A,311.943,259.9388817342618
Ta1 Cre-ON,CBLK1855_1A,336.554,237.4840492311032
Ta1 Cre-ON,CBLK1855_1A,392.696,291.0926542141963
Ta1 Cre-ON,CBLK1855_1A,429.07,320.2229724472675
Ta1 Cre-ON,CBLK1855_1A,609.356,271.5257277742184
Ta1 Cre-ON,CBLK1855_1A,614.1,186.8597241993757
Ta1 Cre-ON,CBLK1855_1A,417.999,366.6950399499358
Ta1 Cre-ON,CBLK1855_1A,308.088,378.91344534265386
Ta1 Cre-ON,CBLK1855_1A,245.62,356.7325257439884
Ta1 Cre-ON,CBLK1855_1A,614.1,314.95772419937566
Ta1 Cre-ON,CBLK1855_1A,752.873,464.3592400491799
Ta1 Cre-ON,CBLK1855_1A,855.6679999999999,362.83870982074967
Ta1 Cre-ON,CBLK1855_1A,932.369,455.0829243978123
Ta1 Cre-ON,CBLK1855_1A,680.126,205.46576443060837
Ta1 Cre-ON,CBLK1855_1A,630.409,385.0082563411973
Ta1 Cre-ON,CBLK1855_1A,624.9729999999998,401.3968940969017
Ta1 Cre-ON,CBLK1855_1A,443.896,312.13312898596956
Ta1 Cre-ON,CBLK1855_1A,783.1189999999999,386.1759035921704
Ta1 Cre-ON,CBLK1855_1A,401.196,376.268878447609
Ta1 Cre-ON,CBLK1855_1A,530.085,349.0854287763575
Ta1 Cre-ON,CBLK1855_1A,757.025,457.49720036214234
Ta1 Cre-ON,CBLK1855_1A,508.735,346.6752535286568
Ta1 Cre-ON,CBLK1855_1A,806.4449999999999,425.57048706707496
Ta1 Cre-ON,CBLK1855_1A,737.652,280.21890107269036
Ta1 Cre-ON,CBLK1855_1A,252.14399999999998,350.68712422534406
Ta1 Cre-ON,CBLK1855_1A,330.426,359.07313217890146
Ta1 Cre-ON,CBLK1855_1A,136.697,382.7399300961234
Ta1 Cre-ON,CBLK1855_1D,135.215,234.08276953159233
Ta1 Cre-ON,CBLK1855_1D,172.478,186.82511966562015
Ta1 Cre-ON,CBLK1855_1D,272.11,211.0601319846147
Ta1 Cre-ON,CBLK1855_1D,312.437,436.54632936178945
Ta1 Cre-ON,CBLK1855_1D,261.04,379.869827439403
Ta1 Cre-ON,CBLK1855_1D,186.711,289.2317895064558
Ta1 Cre-ON,CBLK1855_1D,36.472,403.1440236458176
Ta1 Cre-ON,CBLK1855_1D,465.048,500.8313129271854
Ta1 Cre-ON,CBLK1855_1D,340.903,467.5015552155366
Ta1 Cre-ON,CBLK1855_1D,412.069,471.40731910506935
Ta1 Cre-ON,CBLK1855_1D,65.729,410.0081207905928
Ta1 Cre-ON,CBLK1855_1D,450.815,315.17371218189214
Ta1 Cre-ON,CBLK1855_1D,529.888,475.7204186393013
Ta1 Cre-ON,CBLK1855_1D,524.352,437.5533249711827
Ta1 Cre-ON,CBLK1855_1D,578.1219999999998,416.9943860703672
Ta1 Cre-ON,CBLK1855_1D,757.618,428.806420889416
Ta1 Cre-ON,CBLK1855_1D,733.8959999999998,478.3803218658109
Ta1 Cre-ON,CBLK1855_1D,929.206,303.9445759576567
Ta1 Cre-ON,CBLK1855_1D,806.643,346.5259585640509
Ta1 Cre-ON,CBLK1855_1D,828.7829999999999,379.4682122152057
Ta1 Cre-ON,CBLK1855_1D,698.313,416.9535564909519
Ta1 Cre-ON,CBLK1855_1D,768.688,162.12804133071808
Ta1 Cre-ON,CBLK1855_1D,620.8210000000001,229.7771784248828
Ta1 Cre-ON,CBLK1855_1D,926.834,288.1022411032715
Ta1 Cre-ON,CBLK1855_1D,216.166,316.65619624579926
Ta1 Cre-ON,CBLK1855_1D,263.906,384.6273934384512
Ta1 Cre-ON,CBLK1855_1D,187.106,292.62435020791526
Ta1 Cre-ON,CBLK1855_1D,187.106,123.6053502079153
Ta1 Cre-ON,CBLK1855_1D,360.869,363.5386124435475
Ta1 Cre-ON,CBLK1855_1D,361.46200000000005,404.4499627803459
Ta1 Cre-ON,CBLK1855_1D,45.961,337.04381240900915
Ta1 Cre-ON,CBLK1855_1D,624.775,228.76357357695937
Ta1 Cre-ON,CBLK1855_1D,340.706,468.0952537779014
Ta1 Cre-ON,CBLK1855_1D,413.057,469.9813731969291
Ta1 Cre-ON,CBLK1855_1D,580.297,454.0675122592653
Ta1 Cre-ON,CBLK1855_1D,942.6480000000001,336.3282944554491
Ta1 Cre-ON,CBLK1855_1D,927.229,286.7892826120938
Ta1 Cre-ON,CBLK1855_1D,468.804,501.7471346834655
Ta1 Cre-ON,CBLK1855_1D,406.53399999999993,285.81152109881907
Ta1 Cre-ON,CBLK1870_1A,609.0589999999999,427.1693787278011
Ta1 Cre-ON,CBLK1870_1A,516.247,367.2335604044991
Ta1 Cre-ON,CBLK1870_1A,713.732,339.9684829054843
Ta1 Cre-ON,CBLK1870_1A,673.9979999999999,336.92760269178194
Ta1 Cre-ON,CBLK1870_1A,1142.505,221.34515770834128
Ta1 Cre-ON,CBLK1870_1A,817.515,275.3524207848856
Ta1 Cre-ON,CBLK1870_1A,772.444,280.08635032200647
Ta1 Cre-ON,CBLK1870_1A,185.624,307.2623591038817
Ta1 Cre-ON,CBLK1870_1A,534.039,358.96522606177007
Ta1 Cre-ON,CBLK1870_1A,664.707,358.40614290389004
Ta1 Cre-ON,CBLK1870_1A,1056.118,480.5351009450793
Ta1 Cre-ON,CBLK1870_1A,754.059,286.8418208951735
Ta1 Cre-ON,CBLK1870_1B,451.902,464.9633320334648
Ta1 Cre-ON,CBLK1870_1B,550.051,410.2050786221647
Ta1 Cre-ON,CBLK1870_1B,613.211,251.25913259143223
Ta1 Cre-ON,CBLK1870_1B,541.155,421.19331035363894
Ta1 Cre-ON,CBLK1870_1B,782.3279999999999,464.24609458326586
Ta1 Cre-ON,CBLK1870_1B,858.831,539.8959357905342
Ta1 Cre-ON,CBLK1870_1B,998.7899999999998,410.1773610494857
Ta1 Cre-ON,CBLK1870_1B,801.5030000000002,444.3002316597069
Ta1 Cre-ON,CBLK1870_1B,60.194,214.23229649077385
Ta1 Cre-ON,CBLK1870_1C,500.5319999999999,365.8279272553126
Ta1 Cre-ON,CBLK1870_1C,406.53399999999993,397.8791513311672
Ta1 Cre-ON,CBLK1870_1C,612.914,184.2132141895363
Ta1 Cre-ON,CBLK1870_1C,537.004,150.08970898800877
Ta1 Cre-ON,CBLK1870_1C,738.6399999999999,314.5023539926066
Ta1 Cre-ON,CBLK1870_1C,522.771,272.401412337036
Ta1 Cre-ON,CBLK1870_1C,330.624,243.72522882163705
Ta1 Cre-ON,CBLK1870_1C,82.73,383.9505499400131
Ta1 Cre-ON,CBLK1870_1C,10.378,278.5801441667305
Ta1 Cre-ON,CBLK1870_1C,201.339,344.39506564689333
Ta1 Cre-ON,CBLK1870_1C,193.63,383.3430583114786
Ta1 Cre-ON,CBLK1870_1C,135.511,355.13956013722753
Ta1 Cre-ON,CBLK1870_1C,246.411,275.57660530331225
Ta1 Cre-ON,CBLK1870_1C,340.11199999999997,467.9926548177817
Ta1 Cre-ON,CBLK1870_1C,435.593,415.8392891284048
Ta1 Cre-ON,CBLK1870_1C,412.464,410.40132003715854
Ta1 Cre-ON,CBLK1870_1C,245.225,181.08767018123012
Ta1 Cre-ON,CBLK1870_1C,166.35,356.96144582291583
Ta1 Cre-ON,CBLK1870_1C,182.955,434.18329649150184
Ta1 Cre-ON,CBLK1870_1C,182.955,372.5062964915018
Ta1 Cre-ON,CBLK1870_1C,340.706,398.68492726721985
Ta1 Cre-ON,CBLK1870_1C,321.728,447.09876626819886
Ta1 Cre-ON,CBLK1870_1C,516.247,389.9181324700282
Ta1 Cre-ON,CBLK1870_1C,565.47,248.6481383396236
Ta1 Cre-ON,CBLK1870_1C,423.13900000000007,325.57236508377133
Ta1 Cre-ON,CBLK1870_1C,354.939,417.1558590060624
Ta1 Cre-ON,CBLK1870_1C,372.73,347.0466972823292
Ta1 Cre-ON,CBLK1870_1C,407.72,309.6482792242551
Ta1 Cre-ON,CBLK1870_1C,394.08,424.92119984735353
Ta1 Cre-ON,CBLK1870_1C,365.02,447.4985146988544
Ta1 Cre-ON,CBLK1870_1C,272.505,423.2473778518618
Ta1 Cre-ON,CBLK1870_1C,475.92,203.87365914680632
Ta1 Cre-ON,CBLK1870_1C,3.855,403.9306044163867
Ta1 Cre-ON,CBLK1870_1C,225.65400000000002,230.01085421934545
Ta1 Cre-ON,CBLK1870_1C,182.955,233.1402964915018
Ta1 Cre-ON,CBLK1870_1C,577.331,443.87923000314026
Ta1 Cre-ON,CBLK1870_1C,490.746,361.7427620541069
Ta1 Cre-ON,CBLK1870_1C,663.916,368.2548449722065
Ta1 Cre-ON,CBLK1870_1C,703.057,275.50830428235474
Ta1 Cre-ON,CBLK1870_1C,695.941,382.119814266894
Ta1 Cre-ON,CBLK1870_1C,993.255,209.68057973184824
Ta1 Cre-ON,CBLK1870_1C,883.344,212.73631007660643
Ta1 Cre-ON,CBLK1870_1C,737.059,419.0650785654621
Ta1 Cre-ON,CBLK1870_1C,809.806,389.504144794416
Ta1 Cre-ON,CBLK1870_1C,829.574,395.45691400158626
Ta1 Cre-ON,CBLK1870_1C,924.461,387.9824480127483
Ta1 Cre-ON,CBLK1870_1C,995.627,319.41504637557773
Ta1 Cre-ON,CBLK1870_1C,899.158,344.1300415895617
Ta1 Cre-ON,CBLK1870_1C,1105.538,199.3627786418789
